code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio
sz.002564,2024-04-27,2023-12-31,1.232964,291.979354,0.653363,550.964187,0.314961,0.246619
sz.002565,2024-04-30,2023-12-31,4.060053,88.668803,2.683140,134.173158,0.880332,0.495372
sz.002566,2024-04-19,2023-12-31,4.928248,73.048279,0.139263,2584.350323,0.360677,0.283924
sz.002567,2024-04-30,2023-12-31,82.769374,4.349435,8.916325,40.375492,4.280214,1.520763
sz.002568,2024-04-26,2023-12-31,19.056996,18.890700,1.652694,217.825377,1.031225,0.481066
sz.002569,2024-04-30,2023-12-31,2.682323,134.212005,2.357076,152.730050,0.925531,0.541378
sz.002570,2024-04-30,2023-12-31,4.564299,78.873010,3.173777,113.428697,1.199541,0.650145
sz.002571,2024-04-13,2023-12-31,7.482444,48.112624,2.210860,162.829617,1.427004,0.452791
sz.002572,2024-04-12,2023-12-31,9.831657,36.616412,11.557936,31.147527,2.113518,0.876730
sz.002573,2024-04-30,2023-12-31,2.288623,157.299860,2.297750,156.678418,0.851690,0.357220
sz.002574,2024-04-26,2023-12-31,12.254361,29.377296,1.768553,203.550831,0.986818,0.667527
sz.002575,2024-04-30,2023-12-31,4.127210,87.226002,7.870066,45.742748,0.163715,0.072041
