code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.600118,2024-04-17,2023-12-31,0.025019,2.164298,0.504939,0.929449,0.024631,1.023058,1.238029,0.019447
sh.600119,2024-04-23,2023-12-31,0.044132,3.767637,1.135029,0.892086,0.011568,0.613288,0.776964,0.024277
sh.600120,2024-04-13,2023-12-31,0.031067,2.451140,0.480149,1.749201,0.015091,0.654299,0.829356,0.027810
sh.600121,2024-03-30,2023-12-31,0.019659,8.355317,0.318073,0.146840,0.050376,0.621248,0.704947,0.115027
sh.600122,2024-04-24,2023-12-31,,-1.076747,0.274171,1.057504,1.771710,0.911940,0.903745,2.149713
sh.600123,2024-04-23,2023-12-31,0.130533,1.906701,0.433548,0.909289,0.173660,0.716785,0.948630,0.255396
sh.600125,2024-04-09,2023-12-31,0.068729,1.417712,1.513036,0.996053,0.032168,0.713659,0.993993,0.045347
sh.600126,2024-04-13,2023-12-31,0.009025,1.481275,1.866594,0.990225,0.003296,0.660005,11.583377,0.000431
sh.600127,2024-03-30,2023-12-31,0.042207,2.633820,2.721857,1.014210,0.005805,0.662657,0.782005,0.011202
sh.600128,2024-04-23,2023-12-31,0.015567,2.689657,1.191682,0.508117,0.009558,1.049198,0.916808,0.009937
sh.600129,2024-03-29,2023-12-31,0.245926,4.355243,1.073022,0.963242,0.054632,0.831380,0.884953,0.074255
sh.600130,2024-04-30,2023-12-31,0.013872,1.194213,0.347538,0.626670,0.053337,0.954668,1.580204,0.035356
sh.600131,2024-04-26,2023-12-31,0.137294,2.122293,0.599334,0.999998,0.107939,0.916447,1.022164,0.115226
sh.600132,2024-03-30,2023-12-31,0.637028,5.930014,1.190690,0.492924,0.183031,0.803263,1.019752,0.223445
sh.600133,2024-04-30,2023-12-31,0.132135,3.309690,0.542788,0.809277,0.090887,0.757586,0.971597,0.123476
sh.600135,2024-03-29,2023-12-31,-0.018065,1.371316,0.597839,1.046102,-0.021064,1.136822,0.972514,-0.019052
sh.600136,2024-04-30,2023-12-31,,-0.938986,0.200411,1.006629,7.091673,0.997007,0.904216,7.866448
sh.600137,2024-04-23,2023-12-31,0.042667,1.293376,0.565476,1.000000,0.058338,0.905626,1.125849,0.057217
sh.600138,2024-04-03,2023-12-31,0.031715,2.848829,0.552906,0.636580,0.031630,0.689776,0.666996,0.068749
sh.600139,2024-04-29,2023-12-31,,-0.604712,0.000222,1.000000,-1489.172802,1.000000,1.013630,-1469.148399
sh.600141,2024-04-02,2023-12-31,0.067257,2.101557,0.652298,0.994260,0.049346,0.808279,0.845281,0.072225
sh.600143,2024-04-30,2023-12-31,0.019267,3.558717,0.819469,4.607478,0.001434,0.419048,0.136328,0.025100
sh.600148,2024-04-26,2023-12-31,0.001399,2.443864,0.603233,0.049067,0.019344,1.571923,2.311098,0.005325
sh.600149,2024-04-20,2023-12-31,-0.096392,4.062817,0.310340,0.689403,-0.110893,0.860880,1.219152,-0.105658
sh.600150,2024-04-27,2023-12-31,0.062717,3.607992,0.439878,1.000925,0.039481,0.977640,1.824338,0.022136
sh.600151,2024-03-30,2023-12-31,-0.082815,2.146664,0.835536,0.864468,-0.053411,1.595641,1.266305,-0.026434
sh.600152,2024-04-16,2023-12-31,-0.065238,1.825124,0.496840,0.808150,-0.089022,0.984111,1.009562,-0.089602
sh.600153,2024-04-16,2023-12-31,0.204765,11.607137,1.028103,0.777706,0.022064,0.810382,0.945596,0.028793
sh.600155,2024-04-19,2023-12-31,0.023537,2.657783,0.057538,0.992375,0.155098,0.679662,,
sh.600156,2024-04-10,2023-12-31,0.046384,2.114892,0.606285,2.012820,0.017972,1.610081,0.632735,0.017641
sh.600157,2024-04-26,2023-12-31,0.050123,2.333316,0.285570,0.904647,0.083152,0.730884,0.637436,0.178480
sh.600158,2024-04-30,2023-12-31,0.028062,2.704510,0.549668,0.209640,0.090044,0.584340,1.048233,0.147004
sh.600159,2024-04-20,2023-12-31,-0.158120,1.824341,0.185839,1.006652,-0.463301,1.084004,0.994493,-0.429765
sh.600160,2024-04-18,2023-12-31,0.059823,1.458650,0.897848,0.974017,0.046897,0.899832,1.004378,0.051891
sh.600161,2024-03-29,2023-12-31,0.119225,1.457101,0.381915,0.735289,0.291376,0.839242,1.029696,0.337177
sh.600162,2024-04-20,2023-12-31,0.010723,3.435205,0.148231,-1.437581,-0.014649,-0.225204,0.445990,0.145851
sh.600163,2024-04-27,2023-12-31,0.113034,1.930722,0.149437,0.938961,0.417239,0.838116,0.888674,0.560194
sh.600165,2024-04-27,2023-12-31,-1.167897,7.822943,0.091623,0.901888,-1.806673,0.999459,1.380511,-1.309407
sh.600166,2024-04-27,2023-12-31,0.065384,3.357325,1.201219,1.059511,0.015302,0.909991,1.124100,0.014959
sh.600167,2024-04-30,2023-12-31,0.079522,1.591317,0.198457,0.944875,0.266496,0.835610,1.191812,0.267596
sh.600168,2024-03-28,2023-12-31,0.028002,4.152314,0.144636,0.995839,0.046821,0.750513,0.297139,0.209952
sh.600169,2024-04-23,2023-12-31,0.035879,6.170882,0.263104,1.124741,0.019648,0.817757,0.276568,0.086873
sh.600170,2024-04-23,2023-12-31,0.038228,9.188244,0.813554,0.939594,0.005443,0.561251,0.571956,0.016955
sh.600171,2024-04-02,2023-12-31,-0.014535,1.188085,0.434158,1.000000,-0.028178,0.588748,0.736332,-0.064999
sh.600172,2024-04-30,2023-12-31,-0.276041,3.220833,0.169004,1.000000,-0.507118,0.952661,1.689995,-0.314982
sh.600173,2024-04-12,2023-12-31,0.043894,1.691102,0.750797,0.991079,0.034882,0.693412,1.051764,0.047829
sh.600176,2024-03-20,2023-12-31,0.108267,1.790687,0.295426,0.964251,0.212245,0.851537,0.939154,0.265397
sh.600177,2024-04-30,2023-12-31,0.089022,2.051771,0.173726,0.978237,0.255306,0.885410,0.917698,0.314208
sh.600178,2024-04-23,2023-12-31,0.001601,3.072701,0.694454,0.864908,0.000868,0.993181,-0.266501,-0.003278
sh.600179,2024-03-28,2023-12-31,0.057525,1.356381,0.548648,1.000000,0.077300,0.772436,0.957040,0.104566
sh.600180,2024-04-26,2023-12-31,0.038197,3.949400,1.317749,0.987417,0.007433,0.839082,0.584274,0.015162
sh.600182,2024-04-27,2023-12-31,0.161638,3.236523,1.136429,0.498880,0.088090,0.753358,0.964819,0.121194
sh.600183,2024-03-29,2023-12-31,0.084711,1.824946,0.661429,1.013354,0.069254,0.903607,0.918020,0.083486
sh.600184,2024-04-26,2023-12-31,0.027481,1.660381,0.526542,1.000000,0.031434,0.871800,1.335324,0.027002
sh.600185,2024-03-30,2023-12-31,-0.123201,4.754996,0.167248,0.998065,-0.155219,0.963554,2.808348,-0.057361
