code,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr
sz.002244,2024-04-27,2023-12-31,0.890250,0.109750,0.079205,11.004593,0.463498,11.449196,0.463498
sz.002245,2024-04-03,2023-12-31,0.500505,0.499495,0.499442,6.659680,0.105602,2.759185,0.105602
sz.002246,2024-04-27,2023-12-31,0.681177,0.318823,0.553254,,-0.053208,-2.191172,-0.053208
sz.002247,2024-04-20,2023-12-31,0.638262,0.361738,0.283403,,0.095115,,0.095115
sz.002248,2024-04-25,2023-12-31,0.785371,0.214629,0.104142,-1.079626,0.187638,,0.187638
sz.002249,2024-04-23,2023-12-31,0.612139,0.387861,0.440668,,0.171881,2.876352,0.171881
sz.002250,2024-04-27,2023-12-31,0.370889,0.629111,0.417250,-3.757131,0.167243,,0.167243
sz.002251,2024-04-30,2023-12-31,0.085853,0.914147,0.013893,-3.361684,-0.438037,,-0.436082
sz.002252,2024-04-29,2023-12-31,0.271705,0.728295,0.758432,,0.286024,1.281558,0.286024
sz.002253,2024-03-29,2023-12-31,0.341139,0.658861,0.459447,-49.427660,0.334619,,0.334619
sz.002254,2024-04-29,2023-12-31,0.410072,0.589928,0.496139,,0.090754,0.984617,0.090754
sz.002255,2024-03-20,2023-12-31,0.704923,0.295077,0.521777,,0.115473,0.926081,0.115473
sz.002256,2024-04-30,2023-12-31,0.423728,0.576272,0.679323,-0.774359,0.058199,,0.058199
sz.002258,2024-03-23,2023-12-31,0.348352,0.651648,0.421835,14.475654,0.119554,1.223283,0.119554
sz.002259,2024-04-09,2023-12-31,0.290390,0.709610,0.210352,1.709751,0.156817,,0.156817
sz.002261,2024-04-26,2023-12-31,0.759783,0.240217,0.395210,10.253310,-0.370904,-24.529434,-0.370904
sz.002262,2024-03-30,2023-12-31,0.717033,0.282967,0.826578,,0.200000,0.974912,0.200000
sz.002263,2024-03-15,2023-12-31,0.558612,0.441388,0.854237,,0.044021,2.837911,0.044021
sz.002264,2024-04-13,2023-12-31,0.904759,0.095241,0.470031,,0.062760,0.887929,0.062760
sz.002265,2024-04-18,2023-12-31,0.626087,0.373913,0.404820,,0.143950,2.094036,0.143950
sz.002266,2024-04-27,2023-12-31,0.610543,0.389457,0.385300,7.780386,0.067520,1.244793,0.067520
sz.002267,2024-04-23,2023-12-31,0.123264,0.876736,0.447045,9.526347,0.121742,1.630114,0.121742
sz.002268,2024-04-26,2023-12-31,0.740256,0.259744,0.658670,,0.194390,1.727856,0.194390
sz.002269,2024-04-30,2023-12-31,0.503773,0.496227,0.130152,1.569690,-0.140140,-5.984766,-0.140140
sz.002270,2024-04-11,2023-12-31,0.660342,0.339658,0.657365,,0.317000,1.128976,0.317000
sz.002271,2024-04-19,2023-12-31,0.636635,0.363365,0.483472,40.658568,0.064078,0.919641,0.064078
sz.002272,2024-04-30,2023-12-31,0.629232,0.370768,0.285734,-0.848346,0.053056,,0.053056
sz.002273,2024-03-22,2023-12-31,0.423924,0.576076,0.726580,,0.242277,1.991835,0.242277
sz.002274,2024-04-26,2023-12-31,0.412040,0.587960,0.629183,59.693832,0.100996,1.181859,0.100996
sz.002275,2024-04-26,2023-12-31,0.557932,0.442068,0.643116,,0.252922,1.303696,0.252922
sz.002276,2024-04-10,2023-12-31,0.776276,0.223724,0.351545,22.467389,0.029417,0.793168,0.029417
